"accession_number","status","artwork_title","artist","location","lat","lng"
"1962.2","Collection Status : Public Tours Available / Contact the Commission for Arts and Culture","The Conduits - Water Control, Hoover Dam","Otto Schneider |","CD 7 : San Carlos : Alvarado Water Treatment Plant : 5540 Kiowa Drive : Hallway","32.7810706","-117.0435762"
"1962.3","Collection Status : Public Tours Available / Contact the Commission for Arts and Culture","100 Foot Level, Boulder Dam","Otto Schneider |","CD 7 : San Carlos : Alvarado Water Treatment Plant : 5540 Kiowa Drive : Hallway","32.7810706","-117.0435762"
"1962.4","Collection Status : Public Tours Available / Contact the Commission for Arts and Culture","Untitled","Otto Schneider |","CD 7 : San Carlos : Alvarado Water Treatment Plant : 5540 Kiowa Drive : Hallway","32.7810706","-117.0435762"
"1963.1","Collection Status : On View","Belfries-Balboa Park","Ivan Messenger |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : California Room/Marilyn and Gene Marx San Diego History Center","32.7089115","-117.1540811"
"1963.3","Collection Status : On View","[Double-Sided Arches]","Malcolm Leland |","CD 3 : Downtown : Evan V. Jones Parkade : 1265 First Ave.","32.7179793","-117.16368190000001"
"1963.4","Collection Status : On View","[Abstract Frieze]","Malcolm Leland |","CD 3 : Downtown : City Administration Building (CAB) : 202 C Street : San Diego Concourse","32.717488","-117.1629"
"1965.10","Collection Status : On View","Charger","Unknown |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1965.11","Collection Status : On View","Charger","Unknown |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1965.15","Collection Status : On View","Shirasuka (Fifty-Three Stations of the Tokaido #33)","Ando Hiroshige |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1965.22","Collection Status : On View","Shono (Fifty-Three Stations of the Tokaido #46)","Ando Hiroshige |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1965.27","Collection Status : On View","Kameyama (Fifty-Three Stations of the Tokaido #47)","Ando Hiroshige |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1965.9","Collection Status : On View","Charger","Unknown |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.1","Collection Status : On View","Mormon Battalion Soldier","Edward James Fraughton |","CD 3 : Old Town : Presidio Park : Taylor Street : Fort Stockton Memorial","32.758154","-117.1941233"
"1969.2","Collection Status : On View","Medallic Art Company 50th Anniversary Medal","Bruno Mankowski |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.3","Collection Status : On View","National Sculpture Society 50th Anniversary Medal","Unknown |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.4a-c","Collection Status : On View","Man Must Sow / To Reap","Donal Hord |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.5","Collection Status : On View","American Institute of Architects Medal for Industrial Arts","Donal Hord |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.6","Collection Status : On View","Good Samaritan (The Community Service Medal)","Donal Hord |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.7","Collection Status : On View","Horse","Unknown |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1969.8","Collection Status : On View","American Academy of Arts and Letters Award of Merit","Herbert Adams |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.1a","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Don Quixote Releases the Galley Slaves/The Unfortunate Knight of the Rock Meeting (from the series, Don Quixote)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.1b","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Don Quixote Releases the Galley Slaves/The Unfortunate Knight of the Rock Meeting (from the series, Don Quixote)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.2","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Sancho at the Feast Starved by His Physician (from the series, Don Quixote)","Thomas Cook |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.3a","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Don Quixote seizes the Barber's Basin for Mambrino's Helmet/The Curate and The Barber  (from the series, Don Quixote)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.3b","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Don Quixote seizes the Barber's Basin for Mambrino's Helmet/The Curate and The Barber  (from the series, Don Quixote)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.4a","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","The Innkeeper's Wife/The Funeral of Chrystom (from the series, Don Quixote)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.1.4b","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","The Innkeeper's Wife/The Funeral of Chrystom (from the series, Don Quixote)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.10","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Beer Street","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.11.1","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","First Stage of Cruelty (from the series Four Stages of Cruelty, Plate I)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.11.2","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","Cruelty in Perfection (from the series Four Stages of Cruelty, Plate III)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.11.3","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","The Reward of Cruelty (from the series Four Stages of Cruelty, Plate IV)","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.13a","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","An Emblematical Print on the South Sea Scheme/The Lottery","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
"1973.1.13b","Collection Status : By Appointment Only / Contact the Hervey Family Rare Book Room","An Emblematical Print on the South Sea Scheme/The Lottery","William Hogarth |","CD 3 : Downtown : Central Library : 330 Park Boulevard : 9th Floor : Hervey Rare Books Room","32.7089115","-117.1540811"
